Name, Calories (cal), Total Fat (g), Sat. Fat (g), Trans Fat (g), Cholesterol (mg), Sodium (mg), Carbohydrates (g), Dietary Fiber (g), Sugar (g), Protein (g)
'Biscuit - Buttermilk', 480.0, 31.0, 19.0, 1.0, 100.5, 910.0, 45.0, 2.0, 4.0, 7.0
'Bourekas - Cheese', 460, 35, 23, 0, 119, 530, 29, 0, 7, 8
'Chocolate Rose', 510.0, 20.5, 6.5, 0.5, 54.5, 560.0, 74.0, 2.0, 19.0, 10.0
'Chocolate Snail', 390.0, 25.5, 16.5, 0, 75.0, 250.0, 36.0, 0, 13.0, 5.0
'Cinnamon Pecan Rose', 660.0, 39.0, 15.5, 1.0, 97.5, 540.0, 75.0, 4.0, 20.0, 10.0
'Croissant - Almond', 580.0, 36.0, 20.5, 0.5, 126.5, 390.0, 54.0, 3.0, 24.0, 7.0
'Croissant - Chocolate', 480.0, 29.0, 19.0, 0.0, 72.0, 320.0, 44.0, 1.0, 16.0, 7.0
'Croissant - Ham & Cheese', 470.0, 30.0, 18.5, 0.0, 108.0, 950.0, 33.0, 1.0, 7.0, 15.0
'Croissant - Pistachio', 580.0, 37.5, 20.0, 0.5, 115.5, 370.0, 51.0, 3.0, 20.0, 10.0
'Croissant - Plain', 350.0, 22.0, 15.0, 0.0, 68.5, 300.0, 30.0, 1.0, 4.0, 5.0
'GF Tea Cake - Pumpkin Seed Praline', 270.0, 15.5, 6.0, 0.5, 76.5, 125.0, 26.0, 2.0, 20.0, 5.0
'GF Tea Cake - Raspberry', 200.0, 11.5, 4.0, 0.0, 69.0, 115.0, 21.0, 2.0, 16.0, 3.0
'GF Tea Cake - Strawberry', 270.0, 15.0, 5.5, 0.5, 88.0, 150.0, 29.0, 2.0, 22.0, 3.0
'Jerusalem Bagel', 430.0, 17.5, 1.0, 0.0, 0.0, 2170.0, 62.0, 2.0, 10.0, 13.0
'Kouign-Amann', 410.0, 27.5, 18.0, 0.5, 74.0, 500.0, 38.0, 1.0, 11.0, 4.0
'Monkey Bread', 480.0, 30.0, 20.0, 0.0, 87.5, 370.0, 46.0, 2.0, 16.0, 6.0
'Morning Bun', 460.0, 32.5, 21.0, 0.5, 87.0, 300.0, 42.0, 2.0, 15.0, 4.0
'Muffin - Cranberry Orange Ginger', 400.0, 13.5, 3.5, 0.0, 61.0, 240.0, 67.0, 2.0, 37.0, 6.0
'Muffin - Dark Chocolate', 470.0, 28.5, 15.0, 0.5, 126.0, 280.0, 39.0, 2.0, 30.0, 7.0
'Palmier', 420.0, 27.5, 18.5, 0.0, 85.0, 350.0, 42.0, 0.0, 20.0, 4.0
'Pita - Feta & Pistachio', 420.0, 18.0, 5.5, 0.0, 15.0, 1040.0, 51.0, 3.0, 8.0, 15.0
'Pita - Goat - Cheese - Leek & Kale', 410.0, 15.5, 4.0, 0.0, 6.5, 930.0, 56.0, 4.0, 9.0, 11.0
'Pita - Prosciutto & Pear', 330.0, 8.5, 2.5, 0.0, 15.5, 660.0, 52.0, 3.0, 11.0, 12.0
'Pita - Spinach & Labneh', 330.0, 12.0, 4.5, 0.0, 16.5, 2000.0, 47.0, 2.0, 7.0, 7.0
'Scone - Cherry Almond', 500.0, 17.5, 9.0, 0.5, 38.0, 710.0, 80.0, 4.0, 18.0, 11.0
'Scone - Savory', 620, 40, 25.5, 1.5, 113, 840, 58, 3, 9, 13
'Turnover - Apple', 460.0, 30.0, 20.0, 0.0, 103.5, 420.0, 43.0, 2.0, 18.0, 4.0
'Add Decaf Espresso Shot', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Add Espresso Shot', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Add Syrup - Caramel', 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.0, 0.0, 12.0, 0.0
'Add Syrup - Hazelnut', 50, 0, 0, 0, 0, 0, 12, 0, 12, 0
'Add Syrup - Vanilla', 50, 0, 0, 0, 0, 12, 0, 12, 0
'Add Splash of Half & Half - (2 oz)', 80.0, 7.0, 4.0, 0.0, 20.0, 20.0, 2.0, 0.0, 2.0, 2.0
'Add Splash of Almond Milk - (2 oz)', 10.0, 0.5, 0.0, 0.0, 0.0, 45.0, 0.0, 0.0, 0.0, 0.0
'Add Splash of Oat Milk - (2 oz)', 30.0, 1.5, 0.0, 0.0, 0.0, 25.0, 4.0, 0.0, 2.0, 1.0
'Add Splash of Soy Milk - (2 oz)', 30, 1.0, 0, 0, 0, 25, 3, 0, 2, 2
'Add Splash of Whole Milk - (2 oz)', 40.0, 2.0, 1.5, 0.0, 10.0, 30.0, 3.0, 0.0, 3.0, 2.0
'Biscuit Egg Sandwich', 840.0, 63.5, 36.5, 2.0, 588.0, 1160.0, 51.0, 3.0, 6.0, 20.0
'Bread And Butter', 710.0, 19.0, 8.5, 0.0, 44.5, 1080.0, 115.0, 7.0, 27.0, 16.0
'Breakfast Sandwich', 870.0, 45.0, 18.5, 0, 511.0, 1590.0, 67.0, 3.0, 0.0, 31.0
'Croissant Breakfast Sandwich', 680.0, 48.5, 25.5, 0, 323.5, 720.0, 38.0, 6.0, 6.0, 13.0
'Croque Madame', 790.0, 53.5, 27.5, 0, 370.0, 2560.0, 41.0, 2.0, 11.0, 35.0
'Croque Monsieur', 660.0, 42.0, 25.0, 0.0, 155.0, 1580.0, 40.0, 1.0, 11.0, 29.0
'Halloumi & Sunnyside Breakfast Sandwich', 520.0, 22.5, 7.5, 0.5, 259.5, 1000.0, 61.0, 3.0, 8.0, 21.0
'Jerusalem Bagel Egg In The Hole', 680.0, 36.5, 5.5, 0.0, 430.0, 3590.0, 68.0, 3.0, 12.0, 26.0
'Jerusalem Bagel Egg In The Hole with Ham & Cheese', 860.0, 47.5, 10.5, 0.0, 491.0, 4700.0, 73.0, 3.0, 17.0, 43.0
'Lamb Hash', 930.0, 61.5, 20.5, 0, 332.5, 1930.0, 63.0, 7.0, 13.0, 32.0
'Muesli Bowl', 980, 65, 31, 0, 125, 340, 86, 10, 45, 18
'Muesli Cup', 670, 37.5, 16.5, 0, 100, 150, 47, 5, 24, 16
'Prosciutto Scrambled Egg Plate', 640.0, 41.5, 21.5, 1.0, 525.5, 620.0, 34.0, 1.0, 0.0, 31.0
'Roasted Pear - Labneh - & Granola', 720, 39, 20, 0, 83.5, 220, 81, 6, 54, 10
'Smoked Salmon & Egg Sandwich', 630.0, 47.0, 14.5, 0.5, 298.0, 1850.0, 32.0, 8.0, 4.0, 25.0
'Spinach - Jerusalem Artichoke & Egg Plate - Cilbir', 760.0, 49.0, 18.0, 0.0, 272.5, 1220.0, 63.0, 4.0, 14.0, 19.0
'Toast', 330.0, 0.5, 0, 0, 0, 690.0, 65.0, 3.0, 0.0, 11.0
'Tomato - & - Goat Cheese Scrambled Egg Plate', 690, 48, 24.5, 1, 522, 660, 38, 2, 4, 25
'GF Breakfast Sandwich', 590.0, 40.0, 11.5, 0.0, 485.0, 2110.0, 27.0, 1.0, 2.0, 32.0
'GF Croissant Breakfast Sandwich', 340.0, 20.5, 4.5, 0.0, 223.5, 480.0, 32.0, 5.0, 4.0, 12.0
'GF Halloumi & Sunnyside Breakfast Sandwich', 310.0, 16.5, 6.0, 0.0, 233.0, 690.0, 27.0, 2.0, 3.0, 15.0
'GF Lamb Hash', 840.0, 61.0, 20.0, 0.0, 318.0, 1770.0, 46.0, 6.0, 11.0, 29.0
'GF Meze Breakfast', 860.0, 70.0, 30.5, 1.0, 547.0, 1460.0, 38.0, 5.0, 9.0, 26.0
'GF Prosciutto Scrambled Egg Plate', 610.0, 46.5, 22.0, 1.0, 529.0, 540.0, 26.0, 0.0, 2.0, 27.0
'GF Smoked Salmon & Egg Sandwich', 650.0, 49.0, 14.0, 0.5, 289.0, 1920.0, 36.0, 8.0, 4.0, 24.0
'GF Spinach - Jerusalem Artichoke & Egg Plate - Cilbir', 650.0, 50.0, 17.5, 0.0, 272.5, 1010.0, 43.0, 3.0, 15.0, 14.0
'GF Tomato & Goat Cheese Scrambled Egg Plate', 860.0, 55.5, 25.0, 1.0, 522.0, 940.0, 63.0, 3.0, 6.0, 27.0
'Brownies - Halva', 700.0, 41.5, 22.0, 0.5, 129.5, 170.0, 54.0, 1.0, 28.0, 10.0
'Brownies - Plain', 590.0, 34.5, 20.5, 0.5, 129.5, 160.0, 45.0, 0.0, 23.0, 7.0
'Brownies - Walnut', 690.0, 45.5, 21.5, 0.5, 129.5, 160.0, 47.0, 1.0, 24.0, 10.0
'Chocolate - Dark - Almonds Retail', 170.0, 12.0, 4.0, 0.0, 0.0, 0.0, 12.0, 1.0, 9.0, 4.0
'Cookie - Almond Square - Bag', 130.0, 8.5, 3.0, 0.0, 12.0, 40.0, 12.0, 1.0, 5.0, 2.0
'Cookie - Chocolate Sandwich - Ind', 420.0, 22.5, 13.5, 0.5, 46.5, 340.0, 40.0, 0, 25.0, 4.0
'Cookie - Cranberry Pistachio - Bag', 140.0, 6.5, 3.0, 0.0, 14.5, 30.0, 19.0, 1.0, 10.0, 2.0
'Cookie - Cranberry Pistachio - Box', 140.0, 6.5, 3.0, 0.0, 14.5, 30.0, 19.0, 1.0, 10.0, 2.0
'Cookie - Crunchy Almond - Ind', 50.0, 3.5, 0.5, 0, 0, 0, 3, 0, 2, 2
'Cookie - Gingerbread Tile', 110.0, 3.5, 2.0, 0.0, 11.5, 90.0, 19.0, 0.0, 10.0, 1.0
'Cookie - Halva Chocolate Chunk', 390.0, 23.0, 13.5, 0.5, 63.0, 280.0, 45.0, 0.0, 26.0, 5.0
'Cookie - Linzer Lg - Ind', 250.0, 13.0, 8.5, 0.5, 44.0, 140.0, 32.0, 1.0, 14.0, 3.0
'Cookie - Nutella - Box', 170.0, 10.0, 5.5, 0.5, 24.5, 80.0, 19.0, 0.0, 8.0, 2.0
'Cookie - Nutella - Ind', 80.0, 5.0, 2.5, 0.0, 12.5, 40.0, 9.0, 0.0, 4.0, 0.0
'Cookie - Nutella - Tube', 170.0, 10.0, 5.5, 0.5, 24.5, 80.0, 19.0, 0.0, 8.0, 2.0
'Cookie - Plain Butter - Box', 120.0, 7.5, 4.5, 0.5, 24.5, 75.0, 14.0, 0.0, 4.0, 2.0
'Cookie - Plain Butter - Ind', 30, 2.0, 1.0, 0.0, 6.0, 20.0, 4.0, 0.0, 1.0, 0.0
'Cookie - Plain Butter - Tube', 120.0, 7.5, 4.5, 0.5, 24.5, 75.0, 14.0, 0.0, 4.0, 2.0
'Cookie - Vanilla Shortbread - Bag', 240.0, 15.0, 9.5, 0.5, 40.0, 150.0, 28.0, 0.0, 19.0, 0
'GF Cookie - Oatmeal Raisin', 500.0, 23.5, 11.0, 0.5, 74.5, 320.0, 69.0, 4.0, 36.0, 7.0
'Nuts - Maple Pecans', 180.0, 16.0, 1.5, 0.0, 0.0, 55.0, 10.0, 2.0, 7.0, 2.0
'French Toast', 1330.0, 73.0, 34.5, 1.0, 302.0, 1190.0, 147.0, 7.0, 73.0, 30.0
'Greek Style Pancakes', 1070.0, 50.0, 22.0, 0.0, 363.5, 1190.0, 138.0, 4.0, 63.0, 23.0
'Meze Breakfast', 1190.0, 83.5, 31.5, 1.0, 547.0, 3430.0, 81.0, 6.0, 17.0, 37.0
'Savory French Toast', 1200.0, 77.5, 29.0, 1.0, 691.5, 2120.0, 95.0, 5.0, 17.0, 41.0
'Strawberry Donut', 490.0, 24.0, 13.0, 1.0, 123.0, 300.0, 59.0, 3.0, 23.0, 9.0
'Vanilla Sugar Donut', 450, 24, 13, 1, 123, 290, 48, 2, 13, 9
'Cheesecake Cup - Blue Fruit', 340.0, 26.5, 16.5, 0.5, 82.0, 135.0, 23.0, 1.0, 15.0, 4.0
'Cheesecake Cup - Crumbs', 360.0, 28.5, 18.0, 1.0, 88.5, 170.0, 24.0, 0.0, 14.0, 4.0
'Cheesecake Cup - Red Fruit', 350.0, 26.5, 16.5, 0.5, 82.0, 135.0, 25.0, 3.0, 15.0, 4.0
'Dark Chocolate Mousse - Ind', 500.0, 39.5, 24.0, 1.0, 142.5, 45.0, 29.0, 0.0, 26.0, 7.0
'Espresso Mocha Mousse - Ind', 740.0, 59.0, 35.0, 1.0, 197.5, 65.0, 41.0, 0, 35.0, 10.0
'Halva Bomb - Ind', 720.0, 47.0, 23.0, 0.5, 130.0, 160.0, 51.0, 3.0, 24.0, 12.0
'Krembo - Passion Fruit', 280.0, 18.0, 11.0, 0.5, 54.0, 115.0, 29.0, 0.0, 23.0, 2.0
'Meringue - Chocolate Coconut - Ind', 160.0, 2.0, 1.5, 0.0, 0.0, 35.0, 33.0, 0.0, 32.0, 2.0
'Pavlova - Mint Lemon Blueberry - Ind', 220.0, 16.0, 10.0, 0.5, 54.0, 15.0, 19.0, 0, 14.0, 2.0
'Cake - Coffee - Slice', 660.0, 36.0, 16.0, 0.5, 115.5, 490.0, 76.0, 3.0, 42.0, 10.0
'Pie - Apple - Slice', 530.0, 17.5, 11.0, 0.5, 46.5, 360.0, 92.0, 4.0, 61.0, 3.0
'Pie - Salted Honey Hazelnut Pecan - Slice', 680.0, 45.5, 18.0, 1.0, 120.5, 380.0, 67.0, 4.0, 42.0, 8.0
'Pie - Pumpkin with Candied Walnuts - Slice', 370.0, 18.5, 9.0, 0.5, 106.0, 270.0, 47.0, 2.0, 26.0, 7.0
'Pound Cake - Gingerbread - Slice', 610.0, 24.0, 14.5, 1.0, 167.5, 280.0, 96.0, 2.0, 66.0, 8.0
'Pound Cake - Pumpkin - Slice', 650.0, 28.0, 15.0, 1.0, 165.0, 250.0, 91.0, 3.0, 61.0, 12.0
'Tart - Fruit Box - Mixed', 530.0, 36.5, 22.5, 1.0, 99.0, 105.0, 47.0, 2.0, 13.0, 6.0
'Tart, Lemon Mint - Ind', 280.0, 21.0, 13.0, 1.0, 84.5, 25.0, 22.0, 0.0, 22.0, 2.0
'Tart - Mixed Nut - Ind', 770.0, 58.5, 18.0, 1.0, 75.5, 160.0, 56.0, 6.0, 27.0, 13.0
'Tart - Pear - Ind -', 350.0, 22.0, 9.0, 0.5, 67.5, 135.0, 36.0, 3.0, 31.0, 3.0
'Tart - Pistachio Cherry - Ind', 690.0, 42.5, 21.0, 1.5, 119.0, 260.0, 71.0, 4.0, 31.0, 10.0
'Tiramisu - Ind', 340.0, 13.5, 8.5, 0.0, 85.5, 70.0, 33.0, 0.0, 22.0, 8.0
'12 Oz Americano', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Black Sesame Latte', 400.0, 23.0, 8.0, 0.0, 37.5, 220.0, 37.0, 1.0, 32.0, 13.0
'12 Oz Cafe Au Lait', 80.0, 4.0, 2.5, 0.0, 15.0, 70.0, 6.0, 0.0, 6.0, 4.0
'12 Oz Chai Latte', 150.0, 5.0, 3.0, 0.0, 19.0, 80.0, 21.0, 0.0, 20.0, 5.0
'12 Oz Coffee', 0, 0, 0, 0, 10, 0, 0, 0
'12 Oz Cold Brew', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Cold Brew - Keg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Cold Milk', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'12 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'12 Oz Decaf Black Sesame Latte', 400.0, 23.0, 8.0, 0.0, 37.5, 220.0, 37.0, 1.0, 32.0, 13.0
'12 Oz Decaf Honey Halva Latte', 270.0, 13.0, 7.0, 0.0, 37.5, 170.0, 27.0, 0.0, 23.0, 11.0
'12 Oz Decaf Latte', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Decaf Mocha', 360.0, 21.5, 13.0, 0.0, 37.5, 150.0, 29.0, 0.0, 25.0, 12.0
'12 Oz Decaf Pistachio Latte', 390.0, 19.0, 7.5, 0.0, 37.5, 250.0, 43.0, 2.0, 38.0, 14.0
'12 Oz Honey Halva Latte', 270.0, 13.0, 7.0, 0.0, 37.5, 170.0, 27.0, 0.0, 23.0, 11.0
'12 Oz Hot Chocolate', 470.0, 29.0, 18.0, 0.0, 37.5, 150.0, 38.0, 0.0, 33.0, 14.0
'12 Oz Iced Black Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Iced Blood Orange Hibiscus Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Iced Green Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'12 Oz Latte', 190.0, 10.0, 6.5, 0, 37.5, 150.0, 15.0, 0, 14.0, 10.0
'12 Oz London Fog', 120.0, 4.0, 2.5, 0.0, 15.0, 60.0, 18.0, 0.0, 17.0, 4.0
'12 Oz Matcha Latte', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Mocha', 360.0, 21.5, 13.0, 0.0, 37.5, 150.0, 29.0, 0.0, 25.0, 12.0
'12 Oz Nitro', 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'12 Oz Pistachio Latte', 390.0, 19.0, 7.5, 0.0, 37.5, 250.0, 43.0, 2.0, 38.0, 14.0
'12 Oz Red Eye', 0, 0, 0, 0, 0, 10, 0, 0, 0, 0
'12 Oz Steamed Milk', 190.0, 10.0, 6.5, 0.0, 37.5, 150.0, 15.0, 0.0, 14.0, 10.0
'12 Oz Turmeric & Honey Latte', 240.0, 10.0, 6.5, 0.0, 37.5, 150.0, 29.0, 0.0, 24.0, 10.0
'16 Oz Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cafe Au Lait', 80.0, 4.0, 2.5, 0.0, 15.0, 75.0, 6.0, 0.0, 6.0, 4.0
'16 Oz Chai Latte', 170.0, 6.0, 4.0, 0.0, 22.5, 95.0, 25.0, 0.0, 24.0, 6.0
'16 Oz Coffee', 0, 0, 0, 0, 15, 0, 0, 0, 0
'16 Oz Cold Brew', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cold Brew - Keg', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Cold Milk', 300.0, 16.0, 10.0, 0.0, 60.0, 240.0, 24.0, 0.0, 22.0, 16.0
'16 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0
'16 Oz Decaf Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz Decaf Mocha', 450.0, 27.0, 16.5, 0.0, 45.0, 180.0, 36.0, 0.0, 32.0, 15.0
'16 Oz Hot Chocolate', 560.0, 35.0, 21.5, 0.0, 45.0, 180.0, 45.0, 0.0, 39.0, 16.0
'16 Oz Iced Black Tea - Cup', 0, 20, 0, 0, 0, 0
'16 Oz Iced Blood Orange Hibiscus Tea - Cup', 0, 0, 0, 0, 20, 0, 0, 0, 0
'16 Oz Iced Green Tea - Cup', 0, 0, 0, 0, 20, 0, 0, 0, 0
'16 Oz Iced Turmeric & Honey Latte', 240.0, 10.0, 6.5, 0.0, 37.5, 150.0, 29.0, 0.0, 24.0, 10.0
'16 Oz Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz London Fog', 150.0, 4.0, 2.5, 0.0, 15.0, 60.0, 24.0, 0.0, 23.0, 4.0
'16 Oz Matcha Latte', 230.0, 12.0, 7.5, 0.0, 45.0, 180.0, 18.0, 0.0, 17.0, 12.0
'16 Oz Mocha', 450.0, 27.0, 16.5, 0.0, 45.0, 180.0, 36.0, 0.0, 32.0, 15.0
'16 Oz Nitro', 10.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
'16 Oz Red Eye', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'16 Oz Sparkling Matcha Lemonade', 80.0, 0.0, 0.0, 0.0, 0.0, 0.0, 21.0, 0.0, 20.0, 0.0
'16 Oz Steamed Milk', 300.0, 16.0, 10.0, 0.0, 60.0, 240.0, 24.0, 0.0, 22.0, 16.0
'8 Oz Decaf Flat White', 110, 6, 4, 0, 22.5, 90, 9, 0, 8, 6
'8 Oz Flat White', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Blood Orange Hibiscus Tea - Cup', 0, 15
'Blood Orange Hibiscus Tea Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Box Of Coffee - (8 servings)', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Cappuccino', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Chamomile Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Chamomile Tea - Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Cortado', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Decaf Cappuccino', 110.0, 6.0, 4.0, 0.0, 22.5, 90.0, 9.0, 0.0, 8.0, 6.0
'Decaf Cortado', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Decaf Double Espresso', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Decaf Macchiato', 80.0, 4.0, 2.5, 0.0, 15.0, 60.0, 6.0, 0.0, 6.0, 4.0
'Double Espresso', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Earl Grey Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'Earl Grey Tea - Pot', 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0
'English Breakfast Tea - Cup', 0, 0, 0, 0, 0, 15, 0, 0, 0, 0
'English Breakfast Tea - Pot', 0.0, 0.0, 0.0, 0.0, 0.0, 25.0, 0.0, 0.0, 0.0, 0.0
'Espresso Shot', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Golden Green Tea - Cup', 0.0, 0.0, 0.0, 0.0, 0.0, 15.0, 0.0, 0.0, 0.0, 0.0
'Golden Green Tea - Pot', 0, 0, 0, 0, 0, 25, 0, 0, 0, 0
'Iced 12 Oz Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 12 Oz Chai Latte', 120, 4.0, 2.5, 0, 15, 65, 17, 0, 16, 4
'Iced 12 Oz Decaf Americano', 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
'Iced 12 Oz Decaf Honey Halva Latte', 190.0, 9.0, 4.5, 0.0, 22.5, 110.0, 21.0, 0, 17.0, 7.0
'Iced 12 Oz Decaf Latte', 130.0, 7.0, 4.5, 0.0, 26.5, 105.0, 11.0, 0, 10.0, 7.0
